entrez,symbol,pubmed_id,type,organ_system,primary_site,cancer_type,method,coding_status,cgc_annotation,vogelstein_annotation,saito_annotation,NCG_oncogene,NCG_tsg,driver_type
6480,ST6GAL1,30606723,WGS,Hematologic and lymphatic,blood,"dlblc, follicular_lymphoma",Paper-specific,noncoding,,,,,,cancer
6480,ST6GAL1,29354286,WGS,Multiple,multiple,pan-cancer_adult,ncDriver,noncoding,,,,,,cancer
6491,STIL,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",,,1.0,0.0,cancer
6495,SIX1,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,,1.0,0.0,cancer
6495,SIX1,29489754,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,MuSiC,coding,oncogene,,,1.0,0.0,cancer
6495,SIX1,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,oncogene,,,1.0,0.0,cancer
6497,SKI,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,,1.0,0.0,cancer
6502,SKP2,18772396,WES,Soft tissue,brain,glioblastoma,Wood-based,coding,,,,,,cancer
6504,SLAMF1,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
6507,SLC1A3,26947078,WES,Urologic,kidney,renal_cancer_(all_histologies),"MutSig, Literature-based",coding,,,,,,cancer
6507,SLC1A3,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,,,,,,cancer
6511,SLC1A6,18772397,WES,Developmental gastrointestinal,pancreas,pancreatic_ductal_adenocarcinoma,Wood-based,coding,,,,,,cancer
6522,SLC4A2,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
6525,SMTN,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
6526,SLC5A3,25401301,WES,Urologic,kidney,non-clear_cell_renal_cancer,Wood-based,coding,,,,,,cancer
6530,SLC6A2,20668451,Gene Panel,Thoracic,lung,lung_cancer_(all_histologies),Wood-based,coding,,,,,,cancer
6531,SLC6A3,26824661,WGS-WES,Soft tissue,brain,pan-glioma,MutSig,coding,,,,,,cancer
6536,SLC6A9,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
6538,SLC6A11,21499247,WES,Skin,skin,melanoma,Paper-specific,coding,,,,,,cancer
6561,SLC13A1,29854292,WES,Gynecologic,breast,breast_cancer,SeqSig,coding,,,,,,cancer
6564,SLC15A1,18987736,WGS,Hematologic and lymphatic,blood,acute_myeloid_leukemia,Literature-based,coding,,,,,,cancer
6565,SLC15A2,22842228,WES,Skin,skin,melanoma,MuSiC,coding,,,,,,cancer
6580,SLC22A1,27064257,WGS,Developmental gastrointestinal,hepatobiliary,"hepatocellular_carcinoma, cholangiocarcinoma",Literature-based,noncoding,,,,,,cancer
6582,SLC22A2,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
6586,SLIT3,30718927,WGS-WES,Core gastrointestinal,esophagus,esophageal_adenocarcinoma,"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D",coding,,,,,,cancer
6586,SLIT3,22941188,WES,Thoracic,lung,small_cell_lung_cancer,MuSiC,coding,,,,,,cancer
6594,SMARCA1,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,,,,,,cancer
6594,SMARCA1,21804550,WES,Hematologic and lymphatic,blood,diffuse_large_B-cell_lymphoma,Paper-specific,coding,,,,,,cancer
6596,HLTF,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
6597,SMARCA4,26909576,WGS,Developmental gastrointestinal,pancreas,pancreatic_cancer_(all_histologies),"HOTNET2, OncodriveFM, MutSig",coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,27158780,WES,Thoracic,lung,lung_cancer_(all_histologies),MutSig,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,25079552,WES,Thoracic,lung,lung_adenocarcinoma,MutSig,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,26061751,WES,Soft tissue,brain,low_grade_glioma,MutSig,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,26824661,WGS-WES,Soft tissue,brain,pan-glioma,MutSig,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,23525077,WGS-WES,Core gastrointestinal,esophagus,esophageal_adenocarcinoma,MutSig,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,30718927,WGS-WES,Core gastrointestinal,esophagus,esophageal_adenocarcinoma,"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D",coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,29489754,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,MuSiC,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,29354286,WGS,Multiple,multiple,pan-cancer_adult,ncDriver,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,22980975,WES,Thoracic,lung,lung_adenocarcinoma,InVEx,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,24336570,WES,Soft tissue,brain,low_grade_glioma,Recurrence-based,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,18772397,WES,Developmental gastrointestinal,pancreas,pancreatic_ductal_adenocarcinoma,Wood-based,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,22832583,WGS-WES,Soft tissue,brain,medulloblastoma,MutSig,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,29945994,WES,Core gastrointestinal,stomach,gastric_adenocarcinoma,Recurrence-based,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,27687306,WES,Thoracic,lung,lung_adenocarcinoma,InVEx,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,25501392,Pan-cancer,Multiple,multiple,pan-cancer_adult,HOTNET2,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,30926794,WGS,Hematologic and lymphatic,blood,burkitt lymphoma,IntOGen,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,23143597,WES,Hematologic and lymphatic,blood,burkitt lymphoma,Recurrence-based,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,27135926,WGS,Gynecologic,breast,breast_cancer,Paper-specific,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,31558468,WGS,Hematologic and lymphatic,blood,burkitt lymphoma,"MutSigCV, HotNet2, Literature-based",coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,31558468,WGS,Hematologic and lymphatic,blood,burkitt lymphoma,"MutSigCV, HotNet2, Literature-based",noncoding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,21163964,WES,Soft tissue,brain,medulloblastoma,Wood-based,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,22820256,WES,Soft tissue,brain,medulloblastoma,MutSig,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,32025015,WGS,Multiple,multiple,pan-cancer_adult,"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver",coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,23143595,WGS-WES,Hematologic and lymphatic,blood,burkitt lymphoma,Recurrence-based,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,22722829,WGS,Soft tissue,brain,medulloblastoma,MuSiC,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,28622513,WES,Developmental gastrointestinal,hepatobiliary,hepatocellular_carcinoma,"MutSig, Recurrence-based",coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,24952744,WGS,Core gastrointestinal,esophagus,esophageal_adenocarcinoma,Recurrence-based,coding,TSG,TSG,,0.0,1.0,cancer
6597,SMARCA4,24658002,WES,Gynecologic,ovary,ovarian_small-cell_carcinoma,Recurrence-based,coding,TSG,TSG,,0.0,1.0,cancer
6598,SMARCB1,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,TSG,TSG,,0.0,1.0,cancer
6598,SMARCB1,26947078,WES,Urologic,kidney,renal_cancer_(all_histologies),"MutSig, Literature-based",coding,TSG,TSG,,0.0,1.0,cancer
6598,SMARCB1,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,TSG,TSG,,0.0,1.0,cancer
6598,SMARCB1,29489754,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,MuSiC,coding,TSG,TSG,,0.0,1.0,cancer
6598,SMARCB1,25576899,WES-Gene Panel,Endocrine,thyroid,anaplastic_thyroid_carcinoma,"Recurrence-based, Literature-based",coding,TSG,TSG,,0.0,1.0,cancer
6598,SMARCB1,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,TSG,TSG,,0.0,1.0,cancer
6598,SMARCB1,22797305,WES,Urologic,kidney,rhabdoid_tumour,MutSig,coding,TSG,TSG,,0.0,1.0,cancer
6598,SMARCB1,25501392,Pan-cancer,Multiple,multiple,pan-cancer_adult,HOTNET2,coding,TSG,TSG,,0.0,1.0,cancer
6598,SMARCB1,32025015,WGS,Multiple,multiple,pan-cancer_adult,"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver",coding,TSG,TSG,,0.0,1.0,cancer
6598,SMARCB1,26536169,WES,Urologic,kidney,papillary_renal_cell_carcinoma,MutSig,coding,TSG,TSG,,0.0,1.0,cancer
6598,SMARCB1,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,TSG,TSG,,0.0,1.0,cancer
6598,SMARCB1,21499247,WES,Skin,skin,melanoma,Paper-specific,coding,TSG,TSG,,0.0,1.0,cancer
6602,SMARCD1,28297679,WES,Developmental gastrointestinal,hepatobiliary,cholangiocarcinoma,MutSig,coding,TSG,,,0.0,1.0,cancer
6602,SMARCD1,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,TSG,,,0.0,1.0,cancer
6602,SMARCD1,22722201,WES,Gynecologic,breast,breast_cancer,Greenman-based,coding,TSG,,,0.0,1.0,cancer
6605,SMARCE1,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,TSG,,,0.0,1.0,cancer
6608,SMO,26950094,WES-Gene Panel,Skin,skin,skin_basal_cell_carcinoma,"MutSig, TumOnc",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
6608,SMO,23348505,WES,Soft tissue,brain,meningioma,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
6608,SMO,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
6608,SMO,29489754,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,MuSiC,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
6608,SMO,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
6608,SMO,32494066,Canonical Cancer Driver,Multiple,multiple,,,,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
6608,SMO,24859340,WGS,Head and neck,head_and_neck,ameloblastoma,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
6608,SMO,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
6626,SNRPA,21499247,WES,Skin,skin,melanoma,Paper-specific,coding,,,,,,cancer
6633,SNRPD2,27311963,WGS,Multiple,multiple,pan-cancer_adult,OncodriveFML,noncoding,,,,,,cancer
6634,SNRPD3,29617667,WES,Multiple,multiple,pan-cancer_adult,"MutSigCV, 20/20",coding,,,,,,cancer
6638,SNRPN,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
6638,SNRPN,29617667,WES,Multiple,multiple,pan-cancer_adult,"MutSigCV, 20/20",coding,,,,,,cancer
6641,SNTB1,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
6645,SNTB2,31558468,WGS,Hematologic and lymphatic,blood,burkitt lymphoma,"MutSigCV, HotNet2, Literature-based",noncoding,,,,,,cancer
6645,SNTB2,31558468,WGS,Hematologic and lymphatic,blood,burkitt lymphoma,"MutSigCV, HotNet2, Literature-based",coding,,,,,,cancer
6646,SOAT1,27149842,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,,,,,,cancer
6651,SON,22156295,WES,Developmental gastrointestinal,pancreas,pancreatic_ductal_adenocarcinoma,Recurrence-based,coding,,,,,,cancer
6654,SOS1,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,,,,,,cancer
6654,SOS1,27348297,WES,Gynecologic,uterus,endometrial_cancer,MutSig,coding,,,,,,cancer
6654,SOS1,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,,,,,,cancer
6657,SOX2,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,,1.0,0.0,cancer
6660,SOX5,22156295,WES,Developmental gastrointestinal,pancreas,pancreatic_ductal_adenocarcinoma,Recurrence-based,coding,,,,,,cancer
6662,SOX9,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,,TSG,,0.0,1.0,cancer
6662,SOX9,22810696,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,,TSG,,0.0,1.0,cancer
6662,SOX9,27149842,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,,TSG,,0.0,1.0,cancer
6662,SOX9,26804919,WES,Core gastrointestinal,small_intestine,ampullary_adenocarcinoma,MutSig,coding,,TSG,,0.0,1.0,cancer
6662,SOX9,24132290,Pan-cancer,Multiple,multiple,pan-cancer_adult,MuSiC,coding,,TSG,,0.0,1.0,cancer
6662,SOX9,29622466,WES,Core gastrointestinal,pan-gastric,pan-gastric,MutSig2CV,coding,,TSG,,0.0,1.0,cancer
6662,SOX9,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,TSG,,0.0,1.0,cancer
6662,SOX9,32025015,WGS,Multiple,multiple,pan-cancer_adult,"ActiveDriverWGS, CompositeDriver, DriverPower, dNdScv, ExInAtor, LARVA, MutSig, NBR, ncdDetect, ncDriver, OncodriveFML, regDriver",coding,,TSG,,0.0,1.0,cancer
6662,SOX9,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,,TSG,,0.0,1.0,cancer
6662,SOX9,26806338,WES-Gene Panel,Core gastrointestinal,small_intestine,ampullary_adenocarcinoma,Recurrence-based,coding,,TSG,,0.0,1.0,cancer
6664,SOX11,29354286,WGS,Multiple,multiple,pan-cancer_adult,ncDriver,coding,,,,,,cancer
6675,UAP1,28467829,WGS,Skin,skin,melanoma,OncodriveFML,noncoding,,,,,,cancer
6677,SPAM1,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
6688,SPI1,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
6689,SPIB,30606723,WGS,Hematologic and lymphatic,blood,"dlblc, follicular_lymphoma",Paper-specific,noncoding,,,,,,cancer
6693,SPN,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
6693,SPN,27311963,WGS,Multiple,multiple,pan-cancer_adult,OncodriveFML,noncoding,,,,,,cancer
6693,SPN,28988769,WES,Urologic,bladder,bladder_cancer,MutSig,coding,,,,,,cancer
6701,SPRR2B,22037554,WES,Core gastrointestinal,stomach,gastric_adenocarcinoma,Wood-based,coding,,,,,,cancer
6708,SPTA1,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,,,,,,cancer
6708,SPTA1,23636398,WES,Gynecologic,uterus,endometrial_cancer,MuSiC,coding,,,,,,cancer
6708,SPTA1,24120142,WES,Soft tissue,brain,glioblastoma,"InVEx, MutSig",coding,,,,,,cancer
6708,SPTA1,26121086,WES,Soft tissue,peripheral_nervous_system,neuroblastoma,Recurrence-based,coding,,,,,,cancer
6708,SPTA1,24816253,WGS,Core gastrointestinal,stomach,gastric_adenocarcinoma,Youn-based,coding,,,,,,cancer
6708,SPTA1,24896186,WES,Soft tissue,brain,intracranial_germ_cell,Recurrence-based,coding,,,,,,cancer
6708,SPTA1,25855536,WES,Developmental gastrointestinal,pancreas,pancreatic_ductal_adenocarcinoma,MutSig,coding,,,,,,cancer
6708,SPTA1,22484628,WES,Core gastrointestinal,stomach,gastric_adenocarcinoma,Recurrence-based,coding,,,,,,cancer
6709,SPTAN1,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,,,,,,cancer
6709,SPTAN1,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
6709,SPTAN1,28988769,WES,Urologic,bladder,bladder_cancer,MutSig,coding,,,,,,cancer
6710,SPTB,26909576,WGS,Developmental gastrointestinal,pancreas,pancreatic_cancer_(all_histologies),"HOTNET2, OncodriveFM, MutSig",coding,,,,,,cancer
6712,SPTBN2,25501392,Pan-cancer,Multiple,multiple,pan-cancer_adult,HOTNET2,coding,,,,,,cancer
6714,SRC,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,Oncogene,1.0,0.0,cancer
6714,SRC,32494066,Canonical Cancer Driver,Multiple,multiple,,,,oncogene,,Oncogene,1.0,0.0,cancer
6718,AKR1D1,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
6738,RO60,26451490,WES,Gynecologic,breast,breast_cancer,MutSig,coding,,,,,,cancer
6741,SSB,21499247,WES,Skin,skin,melanoma,Paper-specific,coding,,,,,,cancer
6742,SSBP1,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
6756,SSX1,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",,,1.0,0.0,cancer
6757,SSX2,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",,,1.0,0.0,cancer
6759,SSX4,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",,,1.0,0.0,cancer
6764,DENND2B,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
6774,STAT3,24700472,WES,Endocrine,adrenal_gland,adrenocortical_adenoma,"MutSig, Recurrence-based",coding,oncogene,,,1.0,0.0,cancer
6774,STAT3,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,,1.0,0.0,cancer
6774,STAT3,26192917,WES-Gene Panel,Hematologic and lymphatic,blood,natural_killer/T_cell_lymphoma,MuSiC,coding,oncogene,,,1.0,0.0,cancer
6774,STAT3,26437031,WGS-WES-Gene Panel,Hematologic and lymphatic,blood,T-cell_leukemia/lymphoma,MutSig,coding,oncogene,,,1.0,0.0,cancer
6774,STAT3,22343534,WES,Hematologic and lymphatic,blood,diffuse_large_B-cell_lymphoma,MutSig,coding,oncogene,,,1.0,0.0,cancer
6774,STAT3,24362818,WGS-WES,Hematologic and lymphatic,blood,follicular_lymphoma,Recurrence-based,coding,oncogene,,,1.0,0.0,cancer
6775,STAT4,21499247,WES,Skin,skin,melanoma,Paper-specific,coding,,,,,,cancer
6777,STAT5B,26192916,WGS-WES,Hematologic and lymphatic,blood,cutaneous_T_cell_lymphoma,MuSiC,coding,"oncogene, TSG, fusion",,,0.0,0.0,cancer
6777,STAT5B,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, TSG, fusion",,,0.0,0.0,cancer
6777,STAT5B,26192917,WES-Gene Panel,Hematologic and lymphatic,blood,natural_killer/T_cell_lymphoma,MuSiC,coding,"oncogene, TSG, fusion",,,0.0,0.0,cancer
6777,STAT5B,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,"oncogene, TSG, fusion",,,0.0,0.0,cancer
6778,STAT6,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",,,1.0,0.0,cancer
6778,STAT6,28064239,WES,Hematologic and lymphatic,blood,follicular_lymphoma,MuSiC,coding,"oncogene, fusion",,,1.0,0.0,cancer
6778,STAT6,22343534,WES,Hematologic and lymphatic,blood,diffuse_large_B-cell_lymphoma,MutSig,coding,"oncogene, fusion",,,1.0,0.0,cancer
6778,STAT6,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,"oncogene, fusion",,,1.0,0.0,cancer
6778,STAT6,24362818,WGS-WES,Hematologic and lymphatic,blood,follicular_lymphoma,Recurrence-based,coding,"oncogene, fusion",,,1.0,0.0,cancer
6781,STC1,21499247,WES,Skin,skin,melanoma,Paper-specific,coding,,,,,,cancer
6786,STIM1,27158780,WES,Thoracic,lung,lung_cancer_(all_histologies),MutSig,coding,,,,,,cancer
6789,STK4,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
6790,AURKA,26939876,Gene Panel,Gynecologic,breast,triple_negative_breast_cancer,"Recurrence-based, Paper-specific",coding,,,,,,cancer
6794,STK11,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,27158780,WES,Thoracic,lung,lung_cancer_(all_histologies),MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,25079552,WES,Thoracic,lung,lung_adenocarcinoma,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,18948947,Gene Panel,Thoracic,lung,lung_adenocarcinoma,MuSiC,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,28297679,WES,Developmental gastrointestinal,hepatobiliary,cholangiocarcinoma,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,30718927,WGS-WES,Core gastrointestinal,esophagus,esophageal_adenocarcinoma,"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D",coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,22980975,WES,Thoracic,lung,lung_adenocarcinoma,InVEx,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,28667006,WGS-WES-Gene Panel,Developmental gastrointestinal,hepatobiliary,cholangiocarcinoma,"MutSigCV, IntOGen",coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,27687306,WES,Thoracic,lung,lung_adenocarcinoma,InVEx,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,24132290,Pan-cancer,Multiple,multiple,pan-cancer_adult,MuSiC,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,25501392,Pan-cancer,Multiple,multiple,pan-cancer_adult,HOTNET2,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,22327622,Gene Panel,Thoracic,lung,non-small_cell_lung_cancer,Recurrence-based,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,27311963,WGS,Multiple,multiple,pan-cancer_adult,OncodriveFML,noncoding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,27135926,WGS,Gynecologic,breast,breast_cancer,Paper-specific,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,24390348,WES,Gynecologic,cervix,cervical_cancer_(all_histologies),MutSig,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,32494066,Canonical Cancer Driver,Multiple,multiple,,,,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,32024818,WGS,Multiple,multiple,pan-cancer_adult,DriverPower,noncoding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,22722201,WES,Gynecologic,breast,breast_cancer,Greenman-based,coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,26099045,WGS,Gynecologic,breast,breast_cancer,"Recurrence-based, Literature-based",coding,TSG,TSG,TSG,0.0,1.0,cancer
6794,STK11,25301631,WES,Thoracic,lung,lung_adenocarcinoma,Literature-based,coding,TSG,TSG,TSG,0.0,1.0,cancer
6812,STXBP1,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
6820,SULT2B1,27311963,WGS,Multiple,multiple,pan-cancer_adult,OncodriveFML,noncoding,,,,,,cancer
6846,XCL2,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
6850,SYK,20601955,Gene Panel,Soft tissue,soft_tissue,soft_tissue_sarcoma,Recurrence-based,coding,"oncogene, fusion",,,1.0,0.0,cancer
6850,SYK,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",,,1.0,0.0,cancer
6850,SYK,22343534,WES,Hematologic and lymphatic,blood,diffuse_large_B-cell_lymphoma,MutSig,coding,"oncogene, fusion",,,1.0,0.0,cancer
6850,SYK,24755198,WES-Gene Panel,Skin,skin,melanoma,Recurrence-based,coding,"oncogene, fusion",,,1.0,0.0,cancer
6854,SYN2,22343534,WES,Hematologic and lymphatic,blood,diffuse_large_B-cell_lymphoma,MutSig,coding,,,,,,cancer
6860,SYT4,21499247,WES,Skin,skin,melanoma,Paper-specific,coding,,,,,,cancer
6867,TACC1,22817889,WES,Skin,skin,melanoma,InVEx,coding,,,,,,cancer
6872,TAF1,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,,,,,,cancer
6872,TAF1,29622464,WES,Gynecologic,pan-gynecological and breast,pan-gynecological and breast,"MutSigCV, 20/20",coding,,,,,,cancer
6872,TAF1,23636398,WES,Gynecologic,uterus,endometrial_cancer,MuSiC,coding,,,,,,cancer
6872,TAF1,24132290,Pan-cancer,Multiple,multiple,pan-cancer_adult,MuSiC,coding,,,,,,cancer
6872,TAF1,28485815,WES,Gynecologic,uterus,clear_cell_endometrial_cancer,Recurrence-based,coding,,,,,,cancer
